dise_name	orphanet_id	ref_id	ref_name	dise_type
Pycnodysostosis	763	Q78.8	ICD-10	rare_genetic
Disorder of sex development-intellectual disability syndrome	2983	600122	OMIM	rare_genetic
Disorder of sex development-intellectual disability syndrome	2983	Q56.3	ICD-10	rare_genetic
46,XX disorder of sex development	2982	D058489	MeSH	not_genetic
46,XX disorder of sex development	2982	C2936403	UMLS	not_genetic
46,XX disorder of sex development	2982	Q56.2	ICD-10	not_genetic
Pseudo-Zellweger syndrome	2981	C535818	MeSH	not_genetic
Pseudo-Zellweger syndrome	2981	C1533628	UMLS	not_genetic
Congenital short bowel syndrome	2301	300048	OMIM	rare_genetic
Congenital short bowel syndrome	2301	615237	OMIM	rare_genetic
Congenital short bowel syndrome	2301	Q43.8	ICD-10	rare_genetic
Hereditary fructose intolerance	469	D005633	MeSH	rare_genetic
Hereditary fructose intolerance	469	10019878	MedDRA	rare_genetic
Hereditary fructose intolerance	469	E74.1	ICD-10	rare_genetic
Hereditary fructose intolerance	469	229600	OMIM	rare_genetic
Jacobsen syndrome	2308	D054868	MeSH	rare_genetic
Jacobsen syndrome	2308	C0795841	UMLS	rare_genetic
Jacobsen syndrome	2308	Q93.5	ICD-10	rare_genetic
Jacobsen syndrome	2308	147791	OMIM	rare_genetic
Joubert syndrome with oculorenal defect	2318	243910	OMIM	rare_genetic
Joubert syndrome with oculorenal defect	2318	608091	OMIM	rare_genetic
Joubert syndrome with oculorenal defect	2318	610188	OMIM	rare_genetic
Joubert syndrome with oculorenal defect	2318	612285	OMIM	rare_genetic
Joubert syndrome with oculorenal defect	2318	614424	OMIM	rare_genetic
Joubert syndrome with oculorenal defect	2318	614465	OMIM	rare_genetic
Joubert syndrome with oculorenal defect	2318	614844	OMIM	rare_genetic
Joubert syndrome with oculorenal defect	2318	Q04.3	ICD-10	rare_genetic
Isolated congenital breast hypoplasia/aplasia	180188	Q83.0	ICD-10	rare_genetic
Isolated congenital breast hypoplasia/aplasia	180188	113700	OMIM	rare_genetic
Isolated congenital breast hypoplasia/aplasia	180188	616001	OMIM	rare_genetic
Foveal hypoplasia-presenile cataract syndrome	2253	H26.0	ICD-10	rare_genetic
Foveal hypoplasia-presenile cataract syndrome	2253	136520	OMIM	rare_genetic
Supernumerary breasts	180182	10049786	MedDRA	not_genetic
Supernumerary breasts	180182	Q83.1	ICD-10	not_genetic
Supernumerary breasts	180182	C0266010	UMLS	not_genetic
Multiple intestinal atresia	2300	243150	OMIM	rare_genetic
Multiple intestinal atresia	2300	C0220744	UMLS	rare_genetic
Multiple intestinal atresia	2300	10028210	MedDRA	rare_genetic
Multiple intestinal atresia	2300	Q43.8	ICD-10	rare_genetic
Embryonal carcinoma	180226	C22.7	ICD-10	not_genetic
Embryonal carcinoma	180226	C71.9	ICD-10	not_genetic
Embryonal carcinoma	180226	D018236	MeSH	not_genetic
Embryonal carcinoma	180226	C0206659	UMLS	not_genetic
Langer-Giedion syndrome	502	C536555	MeSH	rare_genetic
Langer-Giedion syndrome	502	D015826	MeSH	rare_genetic
Langer-Giedion syndrome	502	C0023003	UMLS	rare_genetic
Langer-Giedion syndrome	502	C2931237	UMLS	rare_genetic
Langer-Giedion syndrome	502	10050638	MedDRA	rare_genetic
Langer-Giedion syndrome	502	150230	OMIM	rare_genetic
Langer-Giedion syndrome	502	Q87.8	ICD-10	rare_genetic
Larsen-like osseous dysplasia-short stature syndrome	2370	Q74.8	ICD-10	rare_genetic
Larsen-like osseous dysplasia-short stature syndrome	2370	608545	OMIM	rare_genetic
Polyembryoma	180229	C0334518	UMLS	not_genetic
KID syndrome	477	Q80.8	ICD-10	rare_genetic
KID syndrome	477	10048786	MedDRA	rare_genetic
KID syndrome	477	148210	OMIM	rare_genetic
KID syndrome	477	242150	OMIM	rare_genetic
KID syndrome	477	602540	OMIM	rare_genetic
Isolated cloverleaf skull syndrome	2343	Q75.0	ICD-10	rare_genetic
Isolated cloverleaf skull syndrome	2343	148800	OMIM	rare_genetic
Isolated cloverleaf skull syndrome	2343	600775	OMIM	rare_genetic
Angioosteohypertrophic syndrome	2346	Q87.2	ICD-10	rare_genetic
Angioosteohypertrophic syndrome	2346	149000	OMIM	rare_genetic
Angioosteohypertrophic syndrome	2346	608355	OMIM	rare_genetic
Vaginal carcinoma	180247	C0262659	UMLS	not_genetic
Vaginal carcinoma	180247	C52	ICD-10	not_genetic
Leigh syndrome	506	256000	OMIM	rare_genetic
Leigh syndrome	506	D007888	MeSH	rare_genetic
Leigh syndrome	506	C0023264	UMLS	rare_genetic
Leigh syndrome	506	C0751267	UMLS	rare_genetic
Leigh syndrome	506	10062950	MedDRA	rare_genetic
Leigh syndrome	506	G31.8	ICD-10	rare_genetic
Congenital macroglossia	2430	C0009677	UMLS	rare_genetic
Congenital macroglossia	2430	Q38.2	ICD-10	rare_genetic
Congenital macroglossia	2430	153630	OMIM	rare_genetic
Congenital macroglossia	2430	C531735	MeSH	rare_genetic
Congenital pulmonary lymphangiectasia	2414	C0265800	UMLS	rare_genetic
Congenital pulmonary lymphangiectasia	2414	C1849554	UMLS	rare_genetic
Congenital pulmonary lymphangiectasia	2414	265300	OMIM	rare_genetic
Congenital pulmonary lymphangiectasia	2414	C537727	MeSH	rare_genetic
Congenital pulmonary lymphangiectasia	2414	Q33.8	ICD-10	rare_genetic
Mixed germ cell tumor	180234	C0334524	UMLS	not_genetic
Congenital laryngomalacia	2373	C0345160	UMLS	rare_genetic
Congenital laryngomalacia	2373	10060786	MedDRA	rare_genetic
Congenital laryngomalacia	2373	Q31.5	ICD-10	rare_genetic
Congenital laryngomalacia	2373	D055092	MeSH	rare_genetic
Congenital laryngomalacia	2373	150280	OMIM	rare_genetic
Benign tumor of fallopian tubes	180237	C0346190	UMLS	not_genetic
Benign tumor of fallopian tubes	180237	10053865	MedDRA	not_genetic
Benign tumor of fallopian tubes	180237	D28.2	ICD-10	not_genetic
Laurence-Moon syndrome	2377	245800	OMIM	rare_genetic
Laurence-Moon syndrome	2377	D007849	MeSH	rare_genetic
Laurence-Moon syndrome	2377	C0023138	UMLS	rare_genetic
Laurence-Moon syndrome	2377	10056710	MedDRA	rare_genetic
Laurence-Moon syndrome	2377	Q87.8	ICD-10	rare_genetic
Malignant tumor of fallopian tubes	180242	C0153579	UMLS	not_genetic
Malignant tumor of fallopian tubes	180242	10025915	MedDRA	not_genetic
Malignant tumor of fallopian tubes	180242	C57.0	ICD-10	not_genetic
Congenital laryngeal web	2374	C0152416	UMLS	rare_genetic
Congenital laryngeal web	2374	150360	OMIM	rare_genetic
Congenital laryngeal web	2374	10023871	MedDRA	rare_genetic
Congenital laryngeal web	2374	Q31.0	ICD-10	rare_genetic
MASA syndrome	2466	C536029	MeSH	rare_genetic
MASA syndrome	2466	303350	OMIM	rare_genetic
MASA syndrome	2466	C0795953	UMLS	rare_genetic
MASA syndrome	2466	G11.4	ICD-10	rare_genetic
Marshall syndrome	560	C536025	MeSH	rare_genetic
Marshall syndrome	560	C0265235	UMLS	rare_genetic
Marshall syndrome	560	154780	OMIM	rare_genetic
Marshall syndrome	560	Q87.0	ICD-10	rare_genetic
Paget disease of the nipple	180275	D010144	MeSH	not_genetic
Paget disease of the nipple	180275	C0030185	UMLS	not_genetic
Paget disease of the nipple	180275	C1704323	UMLS	not_genetic
Paget disease of the nipple	180275	10033367	MedDRA	not_genetic
Paget disease of the nipple	180275	C50.0	ICD-10	not_genetic
Muir-Torre syndrome	587	D055653	MeSH	rare_genetic
Muir-Torre syndrome	587	C1321489	UMLS	rare_genetic
Muir-Torre syndrome	587	10063042	MedDRA	rare_genetic
Muir-Torre syndrome	587	L72.8	ICD-10	rare_genetic
Muir-Torre syndrome	587	158320	OMIM	rare_genetic
Benign ductal tumor of breast	180284	D24	ICD-10	not_genetic
Moebius syndrome	570	Q87.0	ICD-10	rare_genetic
Moebius syndrome	570	157900	OMIM	rare_genetic
Moebius syndrome	570	D020331	MeSH	rare_genetic
Moebius syndrome	570	C0221060	UMLS	rare_genetic
Moebius syndrome	570	10030069	MedDRA	rare_genetic
Short rib-polydactyly syndrome	1505	C0036996	UMLS	rare_genetic
Short rib-polydactyly syndrome	1505	Q77.2	ICD-10	rare_genetic
Short rib-polydactyly syndrome	1505	D012779	MeSH	rare_genetic
Phyllode tumor	180261	10011813	MedDRA	not_genetic
Phyllode tumor	180261	D48.6	ICD-10	not_genetic
Phyllode tumor	180261	D003557	MeSH	not_genetic
Phyllode tumor	180261	C0010701	UMLS	not_genetic
Central bilateral macrogyria	2431	Q04.8	ICD-10	rare_genetic
Giant adenofibroma of the breast	180267	D24	ICD-10	not_genetic
Congenital pulmonary airway malformation	2444	Q33.0	ICD-10	not_genetic
Obesity due to leptin receptor gene deficiency	179494	E66.8	ICD-10	rare_genetic
Obesity due to leptin receptor gene deficiency	179494	614963	OMIM	rare_genetic
Potassium-aggravated myotonia	612	608390	OMIM	rare_genetic
Potassium-aggravated myotonia	612	C538353	MeSH	rare_genetic
Potassium-aggravated myotonia	612	C2931826	UMLS	rare_genetic
Potassium-aggravated myotonia	612	G71.1	ICD-10	rare_genetic
Phenylketonuria	716	10034872	MedDRA	rare_genetic
Phenylketonuria	716	E70.0	ICD-10	rare_genetic
Phenylketonuria	716	261600	OMIM	rare_genetic
Phenylketonuria	716	E70.1	ICD-10	rare_genetic
Phenylketonuria	716	D010661	MeSH	rare_genetic
Phenylketonuria	716	C0031485	UMLS	rare_genetic
Obesity due to congenital leptin resistance	179490	E66.8	ICD-10	rare_genetic
Unilateral aplasia of the Müllerian ducts	180071	Q51.4	ICD-10	rare_genetic
Partial bilateral aplasia of the Müllerian ducts	180068	Q51.8	ICD-10	rare_genetic
Ehlers-Danlos syndrome, classic type	287	130000	OMIM	rare_genetic
Ehlers-Danlos syndrome, classic type	287	Q79.6	ICD-10	rare_genetic
Bicervical bicornuate uterus and blind hemivagina	180106	Q51.1	ICD-10	not_genetic
Didelphys uterus	180086	C0266393	UMLS	not_genetic
Didelphys uterus	180086	10012770	MedDRA	not_genetic
Didelphys uterus	180086	Q51.1	ICD-10	not_genetic
Pseudounicornuate uterus	180079	Q51.4	ICD-10	rare_genetic
True unicornuate uterus	180074	Q51.4	ICD-10	rare_genetic
Septate uterus	180122	C0152240	UMLS	not_genetic
Septate uterus	180122	10062606	MedDRA	not_genetic
Septate uterus	180122	Q51.2	ICD-10	not_genetic
Cordiform uterus	180118	C0266397	UMLS	not_genetic
Cordiform uterus	180118	Q51.3	ICD-10	not_genetic
Unicervical bicornuate uterus	180114	Q51.3	ICD-10	not_genetic
Bicervical bicornuate uterus with patent cervix and vagina	180111	Q51.1	ICD-10	not_genetic
Bicornuate uterus	180134	C0266387	UMLS	not_genetic
Bicornuate uterus	180134	10004550	MedDRA	not_genetic
Bicornuate uterus	180134	Q51.3	ICD-10	not_genetic
Uterine hypoplasia	180139	C0266399	UMLS	not_genetic
Uterine hypoplasia	180139	10063146	MedDRA	not_genetic
Uterine hypoplasia	180139	Q51.8	ICD-10	not_genetic
Complete septate uterus	180126	Q51.2	ICD-10	not_genetic
Partial septate uterus	180129	Q51.2	ICD-10	not_genetic
Early-onset autosomal dominant Alzheimer disease	1020	611155	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	G30.0	ICD-10	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	104300	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	104310	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	602096	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	605055	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	605526	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	606187	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	606889	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	607116	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	607822	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	609636	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	609790	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	611073	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	611152	OMIM	rare_genetic
Early-onset autosomal dominant Alzheimer disease	1020	611154	OMIM	rare_genetic
Alport syndrome	63	D009394	MeSH	rare_genetic
Alport syndrome	63	C1567741	UMLS	rare_genetic
Alport syndrome	63	10001843	MedDRA	rare_genetic
Alport syndrome	63	104200	OMIM	rare_genetic
Alport syndrome	63	203780	OMIM	rare_genetic
Alport syndrome	63	301050	OMIM	rare_genetic
Alport syndrome	63	Q87.8	ICD-10	rare_genetic
X-linked recessive ocular albinism	54	C537863	MeSH	rare_genetic
X-linked recessive ocular albinism	54	C0342684	UMLS	rare_genetic
X-linked recessive ocular albinism	54	300500	OMIM	rare_genetic
X-linked recessive ocular albinism	54	E70.3	ICD-10	rare_genetic
Agenesis and aplasia of uterine body	180142	Q51.0	ICD-10	not_genetic
Uterine cervical aplasia and agenesis	180145	Q51.5	ICD-10	not_genetic
Familial isolated dilated cardiomyopathy	154	613694	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613697	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613740	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613881	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	614672	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	615184	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	615235	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	615248	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	615373	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	615396	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	615916	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	I42.0	ICD-10	rare_genetic
Familial isolated dilated cardiomyopathy	154	302045	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	600884	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	601154	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	601493	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	601494	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	604145	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	604288	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	604765	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	605582	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	606685	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	607482	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	608569	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	609909	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	609915	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	611407	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	611615	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	611878	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	611879	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	611880	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	612158	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	612877	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613122	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613172	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613252	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613286	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613424	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613426	OMIM	rare_genetic
Familial isolated dilated cardiomyopathy	154	613642	OMIM	rare_genetic
Transverse vaginal septum	180160	Q52.1	ICD-10	not_genetic
Fanconi anemia	84	617243	OMIM	rare_genetic
Fanconi anemia	84	617244	OMIM	rare_genetic
Fanconi anemia	84	617247	OMIM	rare_genetic
Fanconi anemia	84	D005199	MeSH	rare_genetic
Fanconi anemia	84	10055206	MedDRA	rare_genetic
Fanconi anemia	84	D61.0	ICD-10	rare_genetic
Fanconi anemia	84	227645	OMIM	rare_genetic
Fanconi anemia	84	227646	OMIM	rare_genetic
Fanconi anemia	84	227650	OMIM	rare_genetic
Fanconi anemia	84	300514	OMIM	rare_genetic
Fanconi anemia	84	600901	OMIM	rare_genetic
Fanconi anemia	84	603467	OMIM	rare_genetic
Fanconi anemia	84	609053	OMIM	rare_genetic
Fanconi anemia	84	609054	OMIM	rare_genetic
Fanconi anemia	84	610832	OMIM	rare_genetic
Fanconi anemia	84	613390	OMIM	rare_genetic
Fanconi anemia	84	613951	OMIM	rare_genetic
Fanconi anemia	84	614082	OMIM	rare_genetic
Fanconi anemia	84	614083	OMIM	rare_genetic
Fanconi anemia	84	615272	OMIM	rare_genetic
Fanconi anemia	84	616435	OMIM	rare_genetic
Fanconi anemia	84	C0015625	UMLS	rare_genetic
Septate vagina	180154	Q52.1	ICD-10	not_genetic
Septate vagina	180154	C0266411	UMLS	not_genetic
Proximal spinal muscular atrophy	70	253300	OMIM	rare_genetic
Proximal spinal muscular atrophy	70	253400	OMIM	rare_genetic
Proximal spinal muscular atrophy	70	253550	OMIM	rare_genetic
Proximal spinal muscular atrophy	70	271150	OMIM	rare_genetic
Proximal spinal muscular atrophy	70	G12.0	ICD-10	rare_genetic
Proximal spinal muscular atrophy	70	G12.1	ICD-10	rare_genetic
Longitudinal vaginal septum	180157	Q52.1	ICD-10	not_genetic
Amyloidosis	69	E85.0	ICD-10	not_genetic
Amyloidosis	69	D000686	MeSH	not_genetic
Amyloidosis	69	C0002726	UMLS	not_genetic
Amyloidosis	69	10002022	MedDRA	not_genetic
Amyloidosis	69	E85.1	ICD-10	not_genetic
Amyloidosis	69	E85.2	ICD-10	not_genetic
Amyloidosis	69	E85.3	ICD-10	not_genetic
Amyloidosis	69	E85.4	ICD-10	not_genetic
Amyloidosis	69	E85.8	ICD-10	not_genetic
Amyloidosis	69	E85.9	ICD-10	not_genetic
Familial juvenile hypertrophy of the breast	180176	N62	ICD-10	not_genetic
Familial juvenile hypertrophy of the breast	180176	113670	OMIM	not_genetic
Cockayne syndrome	191	D003057	MeSH	rare_genetic
Cockayne syndrome	191	10009835	MedDRA	rare_genetic
Cockayne syndrome	191	133540	OMIM	rare_genetic
Cockayne syndrome	191	214150	OMIM	rare_genetic
Cockayne syndrome	191	216400	OMIM	rare_genetic
Cockayne syndrome	191	216411	OMIM	rare_genetic
Cockayne syndrome	191	278780	OMIM	rare_genetic
Cockayne syndrome	191	610756	OMIM	rare_genetic
Cockayne syndrome	191	610758	OMIM	rare_genetic
Cockayne syndrome	191	616570	OMIM	rare_genetic
Cockayne syndrome	191	C0009207	UMLS	rare_genetic
Cockayne syndrome	191	Q87.1	ICD-10	rare_genetic
Charcot-Marie-Tooth disease	166	D002607	MeSH	rare_genetic
Charcot-Marie-Tooth disease	166	C0007959	UMLS	rare_genetic
Charcot-Marie-Tooth disease	166	10034699	MedDRA	rare_genetic
Charcot-Marie-Tooth disease	166	G60.0	ICD-10	rare_genetic
Free sialic acid storage disease	834	269920	OMIM	rare_genetic
Free sialic acid storage disease	834	604369	OMIM	rare_genetic
Free sialic acid storage disease	834	10067531	MedDRA	rare_genetic
Free sialic acid storage disease	834	C538523	MeSH	rare_genetic
Free sialic acid storage disease	834	C2931872	UMLS	rare_genetic
Free sialic acid storage disease	834	10067529	MedDRA	rare_genetic
Free sialic acid storage disease	834	E77.8	ICD-10	rare_genetic
Familial Scheuermann disease	3135	181440	OMIM	rare_genetic
Familial Scheuermann disease	3135	M42.0	ICD-10	rare_genetic
Primary cutaneous B-cell lymphoma	178563	C1274310	UMLS	not_genetic
Schizencephaly	799	Q04.6	ICD-10	rare_genetic
Schizencephaly	799	269160	OMIM	rare_genetic
Multiple sclerosis-ichthyosis-factor VIII deficiency syndrome	3151	G37.8	ICD-10	rare_genetic
Mycosis fungoides and variants	178566	C84.0	ICD-10	not_genetic
Silver-Russell syndrome	813	616489	OMIM	rare_genetic
Silver-Russell syndrome	813	D056730	MeSH	rare_genetic
Silver-Russell syndrome	813	10062282	MedDRA	rare_genetic
Silver-Russell syndrome	813	Q87.1	ICD-10	rare_genetic
Silver-Russell syndrome	813	180860	OMIM	rare_genetic
Silver-Russell syndrome	813	312780	OMIM	rare_genetic
Silver-Russell syndrome	813	C0175693	UMLS	rare_genetic
Sirenomelia	3169	Q87.2	ICD-10	rare_genetic
Sirenomelia	3169	600145	OMIM	rare_genetic
Sirenomelia	3169	C538595	MeSH	rare_genetic
Sirenomelia	3169	C0037205	UMLS	rare_genetic
Sirenomelia	3169	10049216	MedDRA	rare_genetic
Sjögren-Larsson syndrome	816	D016111	MeSH	rare_genetic
Sjögren-Larsson syndrome	816	C0037231	UMLS	rare_genetic
Sjögren-Larsson syndrome	816	10048676	MedDRA	rare_genetic
Sjögren-Larsson syndrome	816	Q87.1	ICD-10	rare_genetic
Sjögren-Larsson syndrome	816	270200	OMIM	rare_genetic
Sotos syndrome	821	C0175695	UMLS	rare_genetic
Sotos syndrome	821	Q87.3	ICD-10	rare_genetic
Sotos syndrome	821	D058495	MeSH	rare_genetic
Sotos syndrome	821	10064387	MedDRA	rare_genetic
Sotos syndrome	821	617169	OMIM	rare_genetic
Sotos syndrome	821	117550	OMIM	rare_genetic
Infantile spasms-broad thumbs syndrome	3173	G40.4	ICD-10	rare_genetic
Stormorken-Sjaastad-Langslet syndrome	3204	185070	OMIM	rare_genetic
Stormorken-Sjaastad-Langslet syndrome	3204	D69.8	ICD-10	rare_genetic
Sturge-Weber syndrome	3205	10042265	MedDRA	rare_genetic
Sturge-Weber syndrome	3205	10057653	MedDRA	rare_genetic
Sturge-Weber syndrome	3205	185300	OMIM	rare_genetic
Sturge-Weber syndrome	3205	D013341	MeSH	rare_genetic
Sturge-Weber syndrome	3205	C0038505	UMLS	rare_genetic
Sturge-Weber syndrome	3205	Q85.8	ICD-10	rare_genetic
Thrombocytopenia-absent radius syndrome	3320	C0175703	UMLS	rare_genetic
Thrombocytopenia-absent radius syndrome	3320	10071719	MedDRA	rare_genetic
Thrombocytopenia-absent radius syndrome	3320	274000	OMIM	rare_genetic
Thrombocytopenia-absent radius syndrome	3320	Q87.2	ICD-10	rare_genetic
Tracheal agenesis	3346	C536975	MeSH	not_genetic
Tracheal agenesis	3346	C1261567	UMLS	not_genetic
Tracheal agenesis	3346	Q32.1	ICD-10	not_genetic
Congenital toxoplasmosis	858	P37.1	ICD-10	not_genetic
Congenital toxoplasmosis	858	D014125	MeSH	not_genetic
Congenital toxoplasmosis	858	C0040560	UMLS	not_genetic
Congenital toxoplasmosis	858	10010652	MedDRA	not_genetic
BIDS syndrome	1245	234050	OMIM	not_genetic
Proximal tubulopathy-diabetes mellitus-cerebellar ataxia syndrome	3390	560000	OMIM	rare_genetic
Proximal tubulopathy-diabetes mellitus-cerebellar ataxia syndrome	3390	Q87.8	ICD-10	rare_genetic
VACTERL/VATER association	887	C536495	MeSH	rare_genetic
VACTERL/VATER association	887	C536534	MeSH	rare_genetic
VACTERL/VATER association	887	10053665	MedDRA	rare_genetic
VACTERL/VATER association	887	Q87.2	ICD-10	rare_genetic
VACTERL/VATER association	887	C0220708	UMLS	rare_genetic
VACTERL/VATER association	887	192350	OMIM	rare_genetic
VACTERL/VATER association	887	C1735591	UMLS	rare_genetic
VACTERL/VATER association	887	10066022	MedDRA	rare_genetic
Congenital varicella syndrome	291	P35.8	ICD-10	not_genetic
Cerebrotendinous xanthomatosis	909	D019294	MeSH	rare_genetic
Cerebrotendinous xanthomatosis	909	C0238052	UMLS	rare_genetic
Cerebrotendinous xanthomatosis	909	E75.5	ICD-10	rare_genetic
Cerebrotendinous xanthomatosis	909	213700	OMIM	rare_genetic
Weaver syndrome	3447	Q87.3	ICD-10	rare_genetic
Weaver syndrome	3447	277590	OMIM	rare_genetic
Weaver syndrome	3447	C536687	MeSH	rare_genetic
Weaver syndrome	3447	C0265210	UMLS	rare_genetic
Chondrodysplasia-disorder of sex development syndrome	1422	C1838654	UMLS	rare_genetic
Chondrodysplasia-disorder of sex development syndrome	1422	Q87.1	ICD-10	rare_genetic
Chondrodysplasia-disorder of sex development syndrome	1422	600092	OMIM	rare_genetic
Infant botulism	178478	C0238027	UMLS	not_genetic
Infant botulism	178478	A05.1	ICD-10	not_genetic
Intestinal botulism	178481	C1443901	UMLS	not_genetic
Intestinal botulism	178481	A05.1	ICD-10	not_genetic
Autosomal dominant non-syndromic intellectual disability	178469	156200	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	612580	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	612581	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	612621	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	613970	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	614113	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	614254	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	614255	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	614256	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	614257	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	614563	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	615828	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	616393	OMIM	rare_genetic
Autosomal dominant non-syndromic intellectual disability	178469	616579	OMIM	rare_genetic
Wound botulism	178475	C1306794	UMLS	not_genetic
Wound botulism	178475	A05.1	ICD-10	not_genetic
X-linked myopathy with postural muscle atrophy	178461	300696	OMIM	rare_genetic
X-linked myopathy with postural muscle atrophy	178461	G71.0	ICD-10	rare_genetic
Hereditary proximal myopathy with early respiratory failure	178464	G71.0	ICD-10	rare_genetic
Hereditary proximal myopathy with early respiratory failure	178464	603689	OMIM	rare_genetic
Distal myopathy with anterior tibial onset	178400	G71.0	ICD-10	rare_genetic
Distal myopathy with anterior tibial onset	178400	606768	OMIM	rare_genetic
Congenital vertical talus	178382	Q66.8	ICD-10	rare_genetic
Congenital vertical talus	178382	C0240912	UMLS	rare_genetic
Congenital vertical talus	178382	10066242	MedDRA	rare_genetic
Congenital vertical talus	178382	192950	OMIM	rare_genetic
Autosomal recessive limb-girdle muscular dystrophy type 2D	62	G71.0	ICD-10	rare_genetic
Autosomal recessive limb-girdle muscular dystrophy type 2D	62	C1842550	UMLS	rare_genetic
Autosomal recessive limb-girdle muscular dystrophy type 2D	62	C2936332	UMLS	rare_genetic
Autosomal recessive limb-girdle muscular dystrophy type 2D	62	608099	OMIM	rare_genetic
Osteopetrosis-hypogammaglobulinemia syndrome	178389	Q78.2	ICD-10	rare_genetic
Osteopetrosis-hypogammaglobulinemia syndrome	178389	612301	OMIM	rare_genetic
Syndromic microphthalmia type 5	178364	Q11.2	ICD-10	rare_genetic
Syndromic microphthalmia type 5	178364	610125	OMIM	rare_genetic
Glycogen storage disease due to muscle phosphorylase kinase deficiency	715	300559	OMIM	rare_genetic
Glycogen storage disease due to muscle phosphorylase kinase deficiency	715	E74.0	ICD-10	rare_genetic
Fructose-1,6-bisphosphatase deficiency	348	C0016756	UMLS	rare_genetic
Fructose-1,6-bisphosphatase deficiency	348	E74.1	ICD-10	rare_genetic
Fructose-1,6-bisphosphatase deficiency	348	229700	OMIM	rare_genetic
